2014-05-19 11:52:22 install libustr-1.0-1:amd64 <none> 1.0.4-3
2014-05-19 11:52:22 status half-installed libustr-1.0-1:amd64 1.0.4-3
2014-05-19 11:52:22 status unpacked libustr-1.0-1:amd64 1.0.4-3
2014-05-19 11:52:22 status unpacked libustr-1.0-1:amd64 1.0.4-3
2014-05-19 11:52:22 install libsemanage1:amd64 <none> 2.1.6-6
2014-05-19 11:52:22 status half-installed libsemanage1:amd64 2.1.6-6
2014-05-19 11:52:22 status unpacked libsemanage1:amd64 2.1.6-6
2014-05-19 11:52:22 status unpacked libsemanage1:amd64 2.1.6-6
2014-05-19 11:52:22 install libpam-modules-bin:amd64 <none> 1.1.3-7.1
2014-05-19 11:52:22 status half-installed libpam-modules-bin:amd64 1.1.3-7.1
2014-05-19 11:52:22 status unpacked libpam-modules-bin:amd64 1.1.3-7.1
2014-05-19 11:52:22 status unpacked libpam-modules-bin:amd64 1.1.3-7.1
2014-05-19 11:52:22 install libpam-modules:amd64 <none> 1.1.3-7.1
2014-05-19 11:52:22 status half-installed libpam-modules:amd64 1.1.3-7.1
2014-05-19 11:52:22 status unpacked libpam-modules:amd64 1.1.3-7.1
2014-05-19 11:52:22 status unpacked libpam-modules:amd64 1.1.3-7.1
2014-05-19 11:52:22 install libuuid1:amd64 <none> 2.20.1-5.3
2014-05-19 11:52:22 status half-installed libuuid1:amd64 2.20.1-5.3
2014-05-19 11:52:22 status unpacked libuuid1:amd64 2.20.1-5.3
2014-05-19 11:52:22 status unpacked libuuid1:amd64 2.20.1-5.3
2014-05-19 11:52:22 install libblkid1:amd64 <none> 2.20.1-5.3
2014-05-19 11:52:22 status half-installed libblkid1:amd64 2.20.1-5.3
2014-05-19 11:52:22 status unpacked libblkid1:amd64 2.20.1-5.3
2014-05-19 11:52:22 status unpacked libblkid1:amd64 2.20.1-5.3
2014-05-19 11:52:22 install libcomerr2:amd64 <none> 1.42.5-1.1
2014-05-19 11:52:22 status half-installed libcomerr2:amd64 1.42.5-1.1
2014-05-19 11:52:22 status unpacked libcomerr2:amd64 1.42.5-1.1
2014-05-19 11:52:22 status unpacked libcomerr2:amd64 1.42.5-1.1
2014-05-19 11:52:22 install libss2:amd64 <none> 1.42.5-1.1
2014-05-19 11:52:22 status half-installed libss2:amd64 1.42.5-1.1
2014-05-19 11:52:22 status unpacked libss2:amd64 1.42.5-1.1
2014-05-19 11:52:22 status unpacked libss2:amd64 1.42.5-1.1
2014-05-19 11:52:22 install libmount1:amd64 <none> 2.20.1-5.3
2014-05-19 11:52:22 status half-installed libmount1:amd64 2.20.1-5.3
2014-05-19 11:52:22 status unpacked libmount1:amd64 2.20.1-5.3
2014-05-19 11:52:22 status unpacked libmount1:amd64 2.20.1-5.3
2014-05-19 11:52:22 install insserv:amd64 <none> 1.14.0-5
2014-05-19 11:52:22 status half-installed insserv:amd64 1.14.0-5
2014-05-19 11:52:22 status unpacked insserv:amd64 1.14.0-5
2014-05-19 11:52:22 status unpacked insserv:amd64 1.14.0-5
2014-05-19 11:52:22 install initscripts:amd64 <none> 2.88dsf-41+deb7u1
2014-05-19 11:52:22 status half-installed initscripts:amd64 2.88dsf-41+deb7u1
2014-05-19 11:52:22 status unpacked initscripts:amd64 2.88dsf-41+deb7u1
2014-05-19 11:52:22 status unpacked initscripts:amd64 2.88dsf-41+deb7u1
2014-05-19 11:52:22 install libslang2:amd64 <none> 2.2.4-15
2014-05-19 11:52:22 status half-installed libslang2:amd64 2.2.4-15
2014-05-19 11:52:22 status unpacked libslang2:amd64 2.2.4-15
2014-05-19 11:52:22 status unpacked libslang2:amd64 2.2.4-15
2014-05-19 11:52:22 install e2fsprogs:amd64 <none> 1.42.5-1.1
2014-05-19 11:52:22 status half-installed e2fsprogs:amd64 1.42.5-1.1
2014-05-19 11:52:23 status unpacked e2fsprogs:amd64 1.42.5-1.1
2014-05-19 11:52:23 status unpacked e2fsprogs:amd64 1.42.5-1.1
2014-05-19 11:52:23 install findutils:amd64 <none> 4.4.2-4
2014-05-19 11:52:23 status half-installed findutils:amd64 4.4.2-4
2014-05-19 11:52:23 status unpacked findutils:amd64 4.4.2-4
2014-05-19 11:52:23 status unpacked findutils:amd64 4.4.2-4
2014-05-19 11:52:23 install grep:amd64 <none> 2.12-2
2014-05-19 11:52:23 status half-installed grep:amd64 2.12-2
2014-05-19 11:52:23 status unpacked grep:amd64 2.12-2
2014-05-19 11:52:23 status unpacked grep:amd64 2.12-2
2014-05-19 11:52:23 install gzip:amd64 <none> 1.5-1.1
2014-05-19 11:52:23 status half-installed gzip:amd64 1.5-1.1
2014-05-19 11:52:23 status unpacked gzip:amd64 1.5-1.1
2014-05-19 11:52:23 status unpacked gzip:amd64 1.5-1.1
2014-05-19 11:52:23 install hostname:amd64 <none> 3.11
2014-05-19 11:52:23 status half-installed hostname:amd64 3.11
2014-05-19 11:52:23 status unpacked hostname:amd64 3.11
2014-05-19 11:52:23 status unpacked hostname:amd64 3.11
2014-05-19 11:52:23 install libpam-runtime:all <none> 1.1.3-7.1
2014-05-19 11:52:23 status half-installed libpam-runtime:all 1.1.3-7.1
2014-05-19 11:52:23 status unpacked libpam-runtime:all 1.1.3-7.1
2014-05-19 11:52:23 status unpacked libpam-runtime:all 1.1.3-7.1
2014-05-19 11:52:23 install login:amd64 <none> 1:4.1.5.1-1
2014-05-19 11:52:23 status half-installed login:amd64 1:4.1.5.1-1
2014-05-19 11:52:23 status unpacked login:amd64 1:4.1.5.1-1
2014-05-19 11:52:23 status unpacked login:amd64 1:4.1.5.1-1
2014-05-19 11:52:23 install multiarch-support:amd64 <none> 2.13-38+deb7u1
2014-05-19 11:52:23 status half-installed multiarch-support:amd64 2.13-38+deb7u1
2014-05-19 11:52:23 status unpacked multiarch-support:amd64 2.13-38+deb7u1
2014-05-19 11:52:23 status unpacked multiarch-support:amd64 2.13-38+deb7u1
2014-05-19 11:52:23 upgrade mawk:amd64 1.3.3-17 1.3.3-17
2014-05-19 11:52:23 status half-configured mawk:amd64 1.3.3-17
2014-05-19 11:52:23 status unpacked mawk:amd64 1.3.3-17
2014-05-19 11:52:23 status half-installed mawk:amd64 1.3.3-17
2014-05-19 11:52:23 status half-installed mawk:amd64 1.3.3-17
2014-05-19 11:52:23 status unpacked mawk:amd64 1.3.3-17
2014-05-19 11:52:23 status unpacked mawk:amd64 1.3.3-17
2014-05-19 11:52:23 install sensible-utils:all <none> 0.0.7
2014-05-19 11:52:23 status half-installed sensible-utils:all 0.0.7
2014-05-19 11:52:23 status unpacked sensible-utils:all 0.0.7
2014-05-19 11:52:23 status unpacked sensible-utils:all 0.0.7
2014-05-19 11:52:23 install zlib1g:amd64 <none> 1:1.2.7.dfsg-13
2014-05-19 11:52:23 status half-installed zlib1g:amd64 1:1.2.7.dfsg-13
2014-05-19 11:52:23 status unpacked zlib1g:amd64 1:1.2.7.dfsg-13
2014-05-19 11:52:23 status unpacked zlib1g:amd64 1:1.2.7.dfsg-13
2014-05-19 11:52:23 install tar:amd64 <none> 1.26+dfsg-0.1
2014-05-19 11:52:23 status half-installed tar:amd64 1.26+dfsg-0.1
2014-05-19 11:52:23 status unpacked tar:amd64 1.26+dfsg-0.1
2014-05-19 11:52:23 status unpacked tar:amd64 1.26+dfsg-0.1
